posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
829,Jacob Bradshaw,20,23,AUS,/es/players/jacob-bradshaw/b0ot/overview,b0ot,188cm,2002.10.23,82Kg,,Diestro,Dos Manos
828,Kazuma Kawachi,28,23,JPN,/es/players/kazuma-kawachi/ke85/overview,ke85,170cm,1994.10.11,66Kg,,Diestro,Dos Manos
827,Lorenzo Claverie,20,23,ITA,/es/players/lorenzo-claverie/c0jv/overview,c0jv,196cm,2002.09.28,96Kg,,Diestro,Dos Manos
826,Vito Tonejc,24,23,CRO,/es/players/vito-tonejc/t0hm/overview,t0hm,191cm,1999.07.02,78Kg,,Diestro,Dos Manos
825,Nicolas Kobelt,19,23,SUI,/es/players/nicolas-kobelt/k0jb/overview,k0jb,173cm,2004.06.15,70Kg,,Diestro,Dos Manos
823,Juan Ignacio Galarza,29,23,ARG,/es/players/juan-ignacio-galarza/gd91/overview,gd91,183cm,1994.03.18,83Kg,,Diestro,Dos Manos
822,Santiago De La Fuente,21,23,ARG,/es/players/santiago-de-la-fuente/d0dk/overview,d0dk,175cm,2002.02.06,81Kg,,Diestro,Dos Manos
821,Dan  Martin,24,23,CAN,/es/players/dan--martin/m0c2/overview,m0c2,175cm,1999.05.09,70Kg,,Diestro,Una Mano
820,Adrian Menendez-Maceiras,37,23,ESP,/es/players/adrian-menendez-maceiras/mb53/overview,mb53,183cm,1985.10.28,75Kg,"Marbella, Spain",Diestro,Dos Manos
818,Rodrigo Pacheco Mendez,18,24,MEX,/es/players/rodrigo-pacheco-mendez/p0j1/overview,p0j1,188cm,2005.04.25,73Kg,,Zurdo,Dos Manos
817,Martin Cuevas,31,24,URU,/es/players/martin-cuevas/cc98/overview,cc98,191cm,1992.01.14,90Kg,,Diestro,Una Mano
816,Yuta Kikuchi,23,24,JPN,/es/players/yuta-kikuchi/k0ez/overview,k0ez,173cm,1999.09.27,67Kg,,Diestro,Desconocido
815,Matej Vocel,26,24,CZE,/es/players/matej-vocel/va22/overview,va22,188cm,1997.05.20,88Kg,,Diestro,Dos Manos
814,Niklas Schell,24,25,GER,/es/players/niklas-schell/sz36/overview,sz36,191cm,1999.01.03,85Kg,,Diestro,Dos Manos
813,Joao Victor Couto Loureiro,20,25,BRA,/es/players/joao-victor-couto-loureiro/l0g5/overview,l0g5,185cm,2003.03.28,80Kg,,Diestro,Dos Manos
812,Leonardo Rossi,20,25,ITA,/es/players/leonardo-rossi/r0h6/overview,r0h6,180cm,2002.08.05,80Kg,,Diestro,Dos Manos
810,Mitchell Harper,25,25,AUS,/es/players/mitchell-harper/hb83/overview,hb83,175cm,1997.09.05,73Kg,"Rockhampton, Australia",Diestro,Dos Manos
808,Juan Carlos Prado Angelo,18,25,BOL,/es/players/juan-carlos-prado-angelo/p0iy/overview,p0iy,185cm,2005.03.06,72Kg,,Diestro,Dos Manos
807,Juan Alejandro Hernandez,24,25,MEX,/es/players/juan-alejandro-hernandez/h0cd/overview,h0cd,175cm,1999.06.23,70Kg,,Diestro,Dos Manos
806,Jack Pinnington Jones,20,25,GBR,/es/players/jack-pinnington-jones/p0ht/overview,p0ht,180cm,2003.03.30,82Kg,,Diestro,Dos Manos
804,Juan Ignacio Londero,29,25,ARG,/es/players/juan-ignacio-londero/lb84/overview,lb84,180cm,1993.08.15,70Kg,Jesus María Argentina,Diestro,Dos Manos
803,Yuki Bhambri,30,25,IND,/es/players/yuki-bhambri/bf55/overview,bf55,185cm,1992.07.04,75Kg,"Nueva Deli, India",Diestro,Dos Manos
800,Johannes Haerteis,27,26,GER,/es/players/johannes-haerteis/hb31/overview,hb31,196cm,1996.02.22,90Kg,,Zurdo,Dos Manos
798,James Tracy,20,26,USA,/es/players/james-tracy/t0gf/overview,t0gf,183cm,2002.07.10,80Kg,,Diestro,Dos Manos
796,Boris Butulija,24,27,SRB,/es/players/boris-butulija/bv08/overview,bv08,185cm,1999.01.04,78Kg,,Zurdo,Dos Manos
793,Aleksandr Braynin,23,27,UKR,/es/players/aleksandr-braynin/b0bk/overview,b0bk,201cm,1999.08.29,85Kg,,Diestro,Dos Manos
792,Lukas Krainer,22,27,AUT,/es/players/lukas-krainer/k0bd/overview,k0bd,198cm,2000.10.12,83Kg,,Diestro,Dos Manos
791,Brandon Walkin,28,27,AUS,/es/players/brandon-walkin/w738/overview,w738,188cm,1994.08.16,85Kg,South Brisbane,Diestro,Dos Manos
